,"Jan 16","Feb 16","Mar 16","Apr 16","May 16","Jun 16","Jul 16","Aug 16","Sep 16","Oct 16","Nov 16","Dec 16","Jan 17","Feb 17","Mar 17","Apr 17","May 17","Jun 17","Jul 17","Aug 17","Sep 17","Oct 17","Nov 17","Dec 17","Jan 18","Feb 18","Mar 18","Apr 18","May 18","Jun 18","Jul 18","Aug 18","Sep 18","Oct 18","Nov 18","Dec 18","Jan 19","Feb 19","Mar 19","Apr 19","May 19","Jun 19","Jul 19","Aug 19","Sep 19","Oct 19","Nov 19","Dec 19","Jan 20","Feb 20","Mar 20","Apr 20","May 20","TOTAL"
"Ordinary Income/Expense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Total 4200 · MOVING SUPPLIES REVENUE",5243.43,5096.08,6598.14,6737.18,10814.45,15589.95,9090.42,8467.29,8390.25,7723.75,5757.25,6501.25,4535.25,7912.00,10137.00,7254.50,9917.75,15272.75,8848.75,8104.75,6238.00,5060.25,4260.25,8479.76,6528.75,2866.25,8080.00,12027.24,10305.87,15575.00,8165.75,12739.66,7079.75,16224.75,8298.50,8086.00,7697.75,9086.29,12567.50,16497.25,9023.50,19141.75,13691.75,14899.75,14760.25,15685.25,11675.25,13018.00,8603.25,5389.00,8054.75,6477.25,8362.00,502638.51
"4500 · ANCILLARY REVENUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4510 · Cancellation Fee Income",100.00,0.00,400.00,400.00,-100.00,600.00,-100.00,100.00,700.00,100.00,-200.00,300.00,0.00,0.00,0.00,200.00,100.00,200.00,100.00,0.00,300.00,0.00,0.00,0.00,100.00,300.00,100.00,100.00,0.00,425.00,600.00,814.00,200.00,300.00,300.00,400.00,200.00,100.00,0.00,200.00,200.00,300.00,200.00,300.00,300.00,0.00,400.00,150.00,0.00,300.00,200.00,200.00,100.00,9989.00
"4535 · Commission Income (Internal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4535.1 · Backhaul Commission",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3180.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-830.00,0.00,0.00,0.00,-150.00,0.00,0.00,0.00,1058.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3259.23
"Total 4535 · Commission Income (Internal)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3180.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-830.00,0.00,0.00,0.00,-150.00,0.00,0.00,0.00,1058.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3259.23
"4540 · Fuel Surcharge",4335.36,3521.52,6040.22,6045.99,10318.02,16784.03,15733.00,17739.06,9282.86,6194.39,8805.12,6479.89,4209.85,5485.91,6176.38,6447.95,11161.85,17006.20,17662.59,12589.37,7057.22,6979.78,4153.82,7919.80,4329.85,4112.94,5942.04,7659.95,5455.84,11741.64,10091.25,12061.16,5222.84,5417.47,5500.28,4450.18,2717.62,5223.05,5000.62,5555.45,8038.76,16944.37,11036.36,12685.87,15683.39,5845.33,3945.75,4574.52,2604.61,4198.61,4531.54,3277.09,4786.04,416764.60
"4545 · Additional Job Charges",19211.04,25892.79,28700.95,36160.89,50953.21,62338.09,66163.97,57324.78,37956.00,53295.20,27065.28,39452.76,26256.90,24763.26,33899.65,33491.72,51073.02,51237.86,49665.21,49503.87,36301.50,32144.06,34079.02,29619.86,22585.89,26098.60,36137.71,40409.47,43827.26,50184.87,49939.54,53241.82,29640.67,45004.95,31557.76,37560.78,24627.14,32816.66,37206.90,37866.00,59250.02,44721.52,7077.19,5766.35,7993.40,5070.17,4683.59,10755.19,5397.32,5071.71,6315.88,11080.04,5543.45,1733982.74
"4547 · Travel Charges",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8167.90,48589.96,42386.83,30186.81,32002.25,32448.34,31649.81,21345.43,26379.30,37819.09,29072.99,41356.44,381405.15
"4550 · Storage Fees",10870.59,6618.56,8020.19,7793.97,7342.87,8322.03,2761.19,10849.86,7121.41,6087.42,6505.67,2391.31,8088.44,3278.29,5017.30,2089.73,3153.54,5664.60,3356.54,525.12,1394.24,332.13,1105.26,1354.52,182.13,422.13,2105.28,0.00,3327.09,1043.35,450.00,782.13,793.59,0.00,769.25,429.82,182.13,0.00,642.23,169.00,802.13,182.13,328.25,0.00,729.21,1036.82,0.00,649.05,480.00,60.00,914.36,344.79,185.13,137054.78
